"p1","p5","p10","p30","p60","p120","p180","p1440"
47333.02458,46285.60265,45374.74043,39908.65024,42169.70526,45935.79795,45773.3857,32382.25861
22791.04236,23059.37458,23686.1455,23897.14457,21732.34745,16080.63492,22642.32807,35080.42999
19359.17927,18084.06261,16973.96077,12676.78624,17215.85163,33604.49149,20511.93726,46036.86107
40145.85412,40323.77807,40546.14588,41435.2644,42767.8863,45429.32855,48085.71902,34656.01253
27518.20384,27880.58075,29303.42657,24885.21623,25971.73779,40683.37291,47788.93173,17997.49146
12966.95633,13257.20126,13307.631,13922.24209,17159.65125,17467.8201,44781.14867,38386.3237
14928.15649,14932.20722,14930.31035,14999.10339,15130.7349,22278.84269,17760.44449,32052.08322
29208.34805,30079.14217,30821.29983,29333.31932,29322.86262,35127.5667,32273.69168,34174.00956
25052.1709,23824.2891,22671.7035,19482.98303,14873.15676,12997.53399,19237.75857,30487.76011
32079.98693,32052.28876,32155.3509,35815.79342,39668.65272,44590.0987,31239.33663,20269.78394
29611.56927,30334.37449,32331.19146,41075.675,47597.06089,49836.51297,51298.74184,21601.72211
36782.61712,36054.93632,33656.2853,27584.67662,23239.57153,26291.69354,31122.23896,12072.18894
30588.38173,30419.64909,29169.07519,25716.47309,22405.00601,22766.31933,13334.14111,31846.72967
25179.23606,25377.6247,26077.48038,35223.57459,41597.77221,29227.574,43432.98404,22963.79857
10548.13449,11924.12098,12597.74809,16330.66493,19226.25608,29767.40261,30555.05423,37312.53807
30760.30887,30445.86562,30385.81501,30540.85486,25746.15779,31899.4374,47992.73141,17071.84749
19983.89258,20125.42044,20508.7087,16866.52548,19536.98703,24222.26974,16515.62568,13277.09961
30563.43857,29769.59881,28175.07281,15471.46945,13816.40587,14103.42795,24004.50421,34884.89404
34451.07513,35074.91925,34728.1711,26935.72289,19238.588,22025.00272,22154.20274,39601.14286
35266.29692,34669.50021,33892.53476,34954.09529,33031.79558,33467.76782,43115.72743,51053.49158
27451.87202,27096.68495,27336.8275,25944.79417,28924.76325,32694.34322,37879.54039,40262.54407
47943.34814,46110.81889,44378.75954,36141.4256,19202.62209,10518.34164,25154.38594,14547.57012
19742.093,19742.69031,19756.33637,15809.67342,19179.10343,17344.02688,10136.68001,29164.02439
29705.3417,30752.27505,33413.50056,37910.24576,43441.97913,47247.61664,49525.0774,50213.66161
18059.92935,18801.97857,19394.68037,22420.63378,26304.61456,25737.94261,13636.26453,37943.70376
30800.66611,31008.1898,30945.35126,34517.28313,39428.06988,40881.96049,33283.25383,46559.79834
32149.42767,32961.4909,33948.32023,37980.18209,36829.72351,41146.09392,47995.4859,30597.28298
12352.41989,12335.40172,12356.89269,12342.22342,12373.95025,17697.1016,18014.46335,21954.06952
16891.0887,18072.76267,18218.8529,15806.32348,18755.59121,15760.9634,14757.33755,20375.42906
43531.48507,43917.53375,44189.04387,42741.25853,39185.00917,35783.77296,39347.06809,44606.01584
31468.29077,30347.81727,28919.95846,24793.07032,21067.30993,24720.13739,19839.45942,13176.1388
48446.20121,48461.59642,48467.13831,48514.04767,51575.33518,47013.43898,38966.62617,22240.33591
29457.03683,28998.87593,29651.4134,32053.44498,29564.07806,24447.62413,27266.00494,14830.03701
31773.11228,33604.19146,35025.38602,40726.68979,38554.57741,33892.33842,45392.92329,14796.10262
15237.16418,15214.72038,14494.52832,14501.41127,14519.28737,21225.41328,21231.72453,35851.71313
23207.8267,22035.07284,21631.74787,22495.78076,26701.23017,44669.89009,45773.73478,29790.95831
30409.78029,30593.00104,31157.15647,29497.34468,25764.17415,26281.58082,32901.00229,7630.448732
21990.59665,21386.45576,21245.67496,22446.13059,22039.77991,21378.17584,19732.8918,44550.78577
